Date,Open,High,Low,Close,Adj Close,Volume
2016-05-04,187.990005,188.779999,187.470001,187.990005,179.092224,2079000
2016-05-05,188.570007,188.899994,187.570007,187.970001,179.073166,1611600
2016-05-06,187.210007,188.720001,187.000000,188.649994,179.721008,1551400
2016-05-09,188.550003,189.270004,188.360001,188.850006,179.911545,1569000
2016-05-10,189.610001,191.210007,189.539993,191.190002,182.140808,1020300
2016-05-11,190.710007,191.070007,189.389999,189.399994,180.435501,2725500
2016-05-12,190.139999,190.289993,188.360001,189.509995,180.540314,1783200
2016-05-13,189.100006,189.710007,187.460007,187.759995,178.873108,1658700
2016-05-16,187.979996,190.160004,187.929993,189.630005,180.654602,1075000
2016-05-17,189.350006,189.649994,187.330002,187.960007,179.063644,3327100
2016-05-18,187.500000,189.199997,186.779999,187.929993,179.035065,1942000
2016-05-19,187.149994,187.589996,185.970001,187.320007,178.453979,1796000
2016-05-20,187.970001,189.050003,187.899994,188.490005,179.568558,1588700
2016-05-23,188.479996,188.779999,188.020004,188.240005,179.330399,1410600
2016-05-24,189.130005,191.009995,189.080002,190.630005,181.607300,1985400
2016-05-25,191.380005,192.419998,191.360001,191.929993,182.845749,2006700
2016-05-26,192.139999,192.360001,191.679993,192.020004,182.931488,1217900
2016-05-27,192.190002,192.830002,192.160004,192.770004,183.645996,988600
2016-05-31,193.160004,193.270004,191.880005,192.539993,183.426895,2821900
2016-06-01,191.880005,193.059998,191.630005,192.899994,183.769852,2375500
2016-06-02,192.449997,193.479996,191.919998,193.479996,184.322403,1539600
2016-06-03,192.850006,193.259995,191.589996,192.919998,183.788879,1897100
2016-06-06,193.289993,194.240005,193.119995,193.850006,184.674881,1177600
2016-06-07,194.050003,194.779999,194.020004,194.199997,185.008301,1551200
2016-06-08,194.339996,194.949997,194.210007,194.839996,185.618027,1041100
2016-06-09,194.020004,194.690002,193.750000,194.539993,185.332214,1521600
2016-06-10,193.070007,193.429993,192.119995,192.669998,183.550705,1932900
2016-06-13,192.029999,192.970001,191.119995,191.220001,182.169373,2318200
2016-06-14,190.830002,191.449997,189.800003,190.800003,181.769257,2051200
2016-06-15,191.259995,191.960007,190.360001,190.520004,181.502502,1590700
2016-06-16,189.600006,191.330002,188.570007,191.139999,182.093140,2744400
2016-06-17,191.100006,191.100006,189.729996,190.429993,181.416748,1701000
2016-06-20,192.559998,193.259995,191.559998,191.649994,182.579010,1192800
2016-06-21,191.149994,191.649994,190.649994,191.240005,183.098892,1826500
2016-06-22,191.449997,192.210007,190.779999,190.919998,182.792511,2245900
2016-06-23,192.520004,193.440002,192.000000,193.389999,185.157364,2582200
2016-06-24,187.000000,189.820007,186.000000,186.339996,178.407455,10310500
2016-06-27,185.059998,185.059998,182.270004,183.050003,175.257523,7717000
2016-06-28,184.869995,186.440002,184.529999,186.429993,178.493637,4475900
2016-06-29,187.949997,189.860001,187.860001,189.639999,181.566971,4147800
2016-06-30,190.130005,192.240005,189.529999,192.199997,184.018021,3822200
2016-07-01,192.089996,193.119995,192.070007,192.600006,184.401001,2170900
2016-07-05,191.729996,191.820007,190.570007,191.250000,183.108459,2233000
2016-07-06,190.710007,192.490005,189.970001,192.380005,184.190353,2197800
2016-07-07,192.559998,193.259995,191.440002,192.250000,184.065872,1704900
2016-07-08,193.630005,195.360001,193.410004,195.169998,186.861603,2048200
2016-07-11,195.619995,196.410004,195.410004,195.850006,187.512650,3590400
2016-07-12,196.839996,197.539993,196.589996,197.229996,188.833893,2356700
2016-07-13,197.690002,197.690002,196.690002,197.160004,188.766876,2767300
2016-07-14,198.580002,198.800003,197.889999,198.309998,189.867935,3691100
2016-07-15,198.929993,198.929993,197.559998,198.009995,189.580673,2346500
2016-07-18,198.149994,198.740005,197.899994,198.580002,190.126434,1155700
2016-07-19,198.130005,198.389999,197.880005,198.360001,189.915802,1003200
2016-07-20,198.919998,199.440002,198.410004,199.160004,190.681732,1096900
2016-07-21,199.070007,199.320007,197.970001,198.410004,189.963654,4509800
2016-07-22,198.619995,199.380005,198.300003,199.330002,190.844482,1678900
2016-07-25,199.100006,199.169998,198.169998,198.850006,190.384933,1172600
2016-07-26,198.699997,199.250000,197.970001,198.839996,190.375336,1405300
2016-07-27,199.289993,199.339996,197.850006,198.710007,190.250885,2120100
2016-07-28,198.490005,199.210007,197.979996,198.929993,190.461533,937200
2016-07-29,198.630005,199.600006,198.320007,199.279999,190.796631,1758600
